                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.80328,                  1.177,                0.66811,                 1.0772,                0.98707,                0.92118,                 0.9737,                0.80479,                0.98179,                0.91626,                0.95011,                 0.6056,                0.69665,                 1.1636,                0.57287,                 1.0333,              0.0011684,              0.0011684,              0.0011684
                     45,                0.76621,                 1.1825,                0.65533,                 1.0676,                0.92777,                0.94908,                0.97025,                 0.8039,                0.89891,                0.91986,                0.94033,                0.57967,                0.69301,                 1.1967,                0.55604,                 1.0367,              0.0011486,              0.0011486,              0.0011486
                     46,                0.82481,                 1.2085,                0.70983,                 1.0456,                0.96056,                0.93103,                0.97668,                0.81127,                0.94239,                0.88641,                0.93738,                0.56708,                0.67536,                 1.1738,                0.54173,                 1.0298,              0.0011288,              0.0011288,              0.0011288
                     47,                0.84754,                 1.1709,                0.72496,                 1.1392,                0.94922,                 0.9209,                0.96937,                0.81043,                0.94057,                 0.9064,                0.94104,                0.57389,                0.66413,                 1.1882,                0.59262,                  1.027,               0.001109,               0.001109,               0.001109
                     48,                0.76684,                 1.2602,                0.72074,                 1.0774,                 0.8933,                0.94855,                0.96283,                0.82368,                0.89048,                0.93596,                0.94622,                 0.5888,                0.60942,                 1.0955,                0.58348,                0.99204,              0.0010892,              0.0010892,              0.0010892
                     49,                0.76785,                 1.2026,                0.71539,                 1.0429,                0.91761,                0.93273,                0.96097,                0.81042,                0.91224,                0.92118,                0.93535,                0.58775,                 0.6546,                 1.1063,                0.64032,                  1.028,              0.0010694,              0.0010694,              0.0010694
                     50,                0.77675,                 1.1361,                0.72404,                  1.032,                0.96176,                0.93596,                0.97502,                0.83002,                0.95127,                0.92611,                0.95648,                0.59467,                0.64297,                 1.0818,                0.53239,                 1.0053,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.7381,                 1.1407,                0.65469,                 1.0457,                0.98071,                0.93596,                0.97957,                0.84571,                0.96435,                0.92118,                0.95961,                0.60904,                0.62467,                 1.0876,                0.52267,                0.99938,              0.0010298,              0.0010298,              0.0010298
                     52,                0.77517,                 1.0806,                0.66038,                 1.0538,                0.97434,                0.93511,                 0.9804,                 0.8541,                0.94867,                0.91048,                0.94713,                0.60492,                0.58992,                  1.071,                0.50759,                 0.9868,                0.00101,                0.00101,                0.00101
                     53,                0.71704,                 1.1667,                0.62612,                 1.0373,                0.91547,                0.96032,                0.97387,                0.83747,                0.90922,                0.91133,                0.94632,                0.58862,                0.60497,                 1.1404,                0.52887,                 0.9925,              0.0009902,              0.0009902,              0.0009902
                     54,                0.74219,                 1.1925,                0.63691,                 1.0362,                0.96591,                0.93103,                0.97942,                0.85662,                0.96369,                0.91514,                 0.9652,                0.58114,                0.55257,                  1.052,                0.48653,                0.95879,              0.0009704,              0.0009704,              0.0009704
                     55,                0.73464,                 1.1197,                0.62281,                 1.0112,                0.96488,                 0.9474,                0.98027,                0.82852,                0.96274,                0.92611,                0.96583,                0.59753,                0.67672,                 1.0793,                0.51897,                 1.0201,              0.0009506,              0.0009506,              0.0009506
                     56,                0.70106,                 1.1615,                0.61055,                 1.0115,                0.97246,                0.96059,                0.98286,                0.86516,                0.94975,                 0.9311,                0.96305,                0.63249,                0.56218,                  1.015,                0.46644,                0.96177,              0.0009308,              0.0009308,              0.0009308
                     57,                0.70677,                 1.0818,                0.61099,                 1.0376,                0.97985,                0.95814,                0.98438,                0.83164,                0.96585,                0.93596,                0.97078,                0.62799,                0.65156,                 1.0251,                0.49403,                0.99502,               0.000911,               0.000911,               0.000911
                     58,                0.70535,                 1.0858,                0.60502,                  1.018,                0.96994,                0.95362,                0.97989,                0.84755,                0.96482,                0.94583,                0.97796,                0.62147,                0.57803,                0.96837,                0.47388,                0.96616,              0.0008912,              0.0008912,              0.0008912
                     59,                0.69244,                 1.1074,                0.62402,                 1.0061,                0.96531,                0.95567,                0.98385,                0.87491,                0.95489,                0.94581,                0.97445,                 0.6365,                0.55215,                 1.0376,                 0.4665,                0.94865,              0.0008714,              0.0008714,              0.0008714
                     60,                0.72424,                 1.1441,                0.62037,                 1.0364,                0.96561,                0.96059,                0.98337,                0.86085,                0.96329,                0.91626,                0.96133,                0.61312,                0.58188,                 1.0151,                0.48096,                0.96648,              0.0008516,              0.0008516,              0.0008516
                     61,                0.70236,                 1.1751,                0.59276,                 1.0124,                0.98473,                0.95295,                0.98346,                0.87066,                0.99783,                0.94089,                0.97931,                0.63328,                0.55957,                0.97427,                0.46713,                0.95401,              0.0008318,              0.0008318,              0.0008318
                     62,                0.64309,                 1.0765,                0.55129,                0.96378,                0.97357,                0.95074,                0.98386,                0.86257,                0.96237,                0.94089,                0.96919,                0.62306,                0.54688,                 0.9824,                0.46867,                0.94727,               0.000812,               0.000812,               0.000812
                     63,                0.66111,                  1.022,                0.58921,                  1.024,                 0.9692,                0.93017,                0.97979,                0.86036,                0.94989,                 0.9064,                0.95022,                0.61987,                0.56789,                 1.0404,                0.47823,                0.96456,              0.0007922,              0.0007922,              0.0007922
                     64,                0.68107,                 1.1272,                0.59485,                 1.0014,                 0.9509,                0.95412,                0.97954,                0.86532,                 0.9509,                0.95412,                0.97699,                0.63726,                0.54274,                0.92525,                0.47746,                0.95168,              0.0007724,              0.0007724,              0.0007724
                     65,                0.61638,                 1.0295,                0.52905,                0.97707,                0.96524,                0.95074,                0.98187,                0.86772,                0.96024,                0.94581,                0.97748,                0.63831,                0.54251,                0.97012,                0.45109,                0.94558,              0.0007526,              0.0007526,              0.0007526
                     66,                0.62203,                 1.0923,                 0.5582,                 1.0087,                0.97482,                0.96552,                0.98363,                0.86234,                0.96984,                0.96059,                0.97457,                0.62763,                0.54337,                0.99649,                0.44921,                0.94859,              0.0007328,              0.0007328,              0.0007328
                     67,                0.60427,                 1.1212,                0.56314,                0.97162,                0.97999,                 0.9649,                0.98469,                 0.8795,                0.97489,                0.95646,                0.97543,                0.65786,                0.52504,                0.96426,                0.42533,                0.93853,               0.000713,               0.000713,               0.000713
                     68,                 0.6393,                 0.9968,                0.55728,                 1.0155,                0.95559,                0.97044,                0.98413,                0.87823,                0.95437,                0.93596,                0.97041,                0.64182,                0.53905,                 1.0113,                0.44018,                0.94288,              0.0006932,              0.0006932,              0.0006932
                     69,                0.61144,                 1.0062,                0.54615,                0.94845,                 0.9798,                0.95565,                0.98353,                0.87264,                0.96465,                0.94087,                0.97157,                0.63467,                0.53896,                0.96592,                0.43175,                0.94157,              0.0006734,              0.0006734,              0.0006734
                     70,                0.61093,                 1.0736,                0.54604,                0.98112,                0.96526,                0.95807,                0.98088,                 0.8773,                0.95933,                 0.9295,                 0.9606,                0.64869,                0.51391,                0.93073,                0.42861,                0.92826,              0.0006536,              0.0006536,              0.0006536
                     71,                0.58943,                 0.9945,                0.53438,                 0.9596,                0.98424,                0.94581,                0.98427,                0.89623,                0.97737,                0.93103,                0.97192,                0.65688,                0.48907,                0.95567,                0.40841,                0.92187,              0.0006338,              0.0006338,              0.0006338
                     72,                0.57303,                0.99391,                0.49381,                0.96485,                0.97058,                0.96059,                 0.9856,                0.88809,                0.96871,                0.95567,                0.97652,                0.63698,                0.47246,                0.93316,                0.39234,                0.91618,               0.000614,               0.000614,               0.000614
                     73,                0.62791,                 1.1747,                 0.5326,                0.99956,                0.97825,                0.96552,                0.98437,                0.88185,                0.97326,                0.96059,                 0.9762,                0.64489,                0.49841,                0.94089,                0.40579,                0.92397,              0.0005942,              0.0005942,              0.0005942
                     74,                0.59434,                 1.0348,                0.53992,                0.97374,                0.98771,                0.96552,                0.98588,                0.90535,                0.98257,                0.96059,                0.97797,                0.67141,                0.46908,                0.93001,                 0.3952,                0.90853,              0.0005744,              0.0005744,              0.0005744
                     75,                0.58728,                 1.0864,                0.49173,                0.99422,                0.98472,                0.95234,                0.98589,                0.88732,                0.97453,                0.94248,                0.97417,                0.65362,                0.48463,                0.94051,                0.40664,                0.91666,              0.0005546,              0.0005546,              0.0005546
                     76,                0.59272,                0.93068,                  0.533,                0.97686,                0.98545,                0.96059,                0.98616,                0.88976,                0.97513,                0.95074,                0.98261,                 0.6596,                0.48017,                0.94614,                0.39519,                0.92152,              0.0005348,              0.0005348,              0.0005348
